sender,receiver,ligand,receptor,pathway,SC,TC,delta_TC_SC,pct_change
Areg,M2,Il6,Il6st,IL6,0.04791336556224387,0.0408784510514142,-0.0070349145108296665,-14.7
Areg,M2,Jag1,Notch2,Notch,0.009993666435119057,0.007889816819689071,-0.002103849615429986,-21.1
Areg,M2,Pdgfa,Pdgfra,Stromal-PDGF,0.0,0.0,0.0,0.0
Areg,M2,Pdgfb,Pdgfrb,Stromal-PDGF,0.0,0.0,0.0,0.0
Areg,M2,Tgfb1,Tgfbr1,TGFb-immunosup,0.007941156258652503,0.005012395413058484,-0.002928760845594019,-36.9
Areg,M2,Tgfb1,Tgfbr2,TGFb-immunosup,0.01209524060999336,0.007157943587797414,-0.004937297022195946,-40.8
Areg,M2,Tgfb2,Tgfbr1,TGFb-immunosup,0.03856232684211983,0.03817885550955378,-0.00038347133256605437,-1.0
Areg,M2,Tnf,Tnfrsf1a,TNF,0.00016213857397848539,0.0,-0.00016213857397848539,-100.0
Areg,M2,Tslp,Crlf2,ILC2-activation,0.028594210776805705,0.017056219702806165,-0.01153799107399954,-40.4
Areg,M2,Vegfa,Flt1,Angiogenesis,0.0,0.003492395549742894,0.003492395549742894,34923955.5
Areg,M2,Vegfa,Kdr,Angiogenesis,0.0,0.0,0.0,0.0
Areg,M2,Wnt5a,Fzd4,Wnt,0.0,0.0,0.0,0.0
Areg,M2,Wnt5a,Ror2,Wnt,0.0,0.0,0.0,0.0
Areg,Mast,Areg,Egfr,Amphiregulin,0.0,0.0,0.0,0.0
Areg,Mast,Areg,Erbb2,Amphiregulin,0.0,0.0,0.0,0.0
Areg,Mast,Areg,Erbb3,Amphiregulin,0.0,0.0,0.0,0.0
Areg,Mast,Ccl2,Ccr2,Macrophage-recruit,0.039293654230821755,0.023969308857461968,-0.015324345373359787,-39.0
Areg,Mast,Csf1,Csf1r,Macrophage-recruit,0.017545981701133955,0.0,-0.017545981701133955,-100.0
Areg,Mast,Cxcl12,Cxcr4,CXCL12-homing,0.12032067685510033,0.0423460356920913,-0.07797464116300903,-64.8
Areg,Mast,Dll1,Notch1,Notch,0.0006261265823130959,0.0016138848473140567,0.0009877582650009609,157.8
Areg,Mast,Fndc5,Itgav,Irisin-autocrine,0.0020426337466508096,0.00435935472694973,0.00231672098029892,113.4
Areg,Mast,Fndc5,Itgb1,Irisin-autocrine,0.005510220336535365,0.015012611164642855,0.00950239082810749,172.4
Areg,Mast,Fndc5,Itgb5,Irisin-autocrine,0.0,0.0009874362826296581,0.0009874362826296581,9874362.8
Areg,Mast,Il33,Il1rl1,ILC2-activation,0.12791070677582325,0.34118875554958455,0.2132780487737613,166.7
Areg,Mast,Il6,Il6ra,IL6,0.0485286086778144,0.026039303823420228,-0.022489304854394175,-46.3
Areg,Mast,Il6,Il6st,IL6,0.049102265779399835,0.004094493565579852,-0.045007772213819984,-91.7
Areg,Mast,Jag1,Notch2,Notch,0.00842097830079799,0.008747841163083905,0.0003268628622859152,3.9
Areg,Mast,Pdgfa,Pdgfra,Stromal-PDGF,0.003329300911643642,0.00035203026772942465,-0.0029772706439142173,-89.4
Areg,Mast,Pdgfb,Pdgfrb,Stromal-PDGF,0.0,0.0,0.0,0.0
Areg,Mast,Tgfb1,Tgfbr1,TGFb-immunosup,0.01155958897821334,0.006791825461910514,-0.0047677635163028255,-41.2
Areg,Mast,Tgfb1,Tgfbr2,TGFb-immunosup,0.017201586712782987,0.008549747643430888,-0.008651839069352098,-50.3
Areg,Mast,Tgfb2,Tgfbr1,TGFb-immunosup,0.05613346895834391,0.051732575263483974,-0.004400893694859936,-7.8
Areg,Mast,Tnf,Tnfrsf1a,TNF,1.6361041505629616e-05,0.0,-1.6361041505629616e-05,-99.9
Areg,Mast,Tslp,Crlf2,ILC2-activation,0.02111212095265266,0.020339015927884185,-0.0007731050247684751,-3.7
Areg,Mast,Vegfa,Flt1,Angiogenesis,0.0,0.0,0.0,0.0
Areg,Mast,Vegfa,Kdr,Angiogenesis,0.0,0.0,0.0,0.0
Areg,Mast,Wnt5a,Fzd4,Wnt,0.03629874079893309,0.005156395777901138,-0.031142345021031952,-85.8
Areg,Mast,Wnt5a,Ror2,Wnt,0.0,0.0,0.0,0.0
Areg,Monocyte_Inflammatory,Areg,Egfr,Amphiregulin,0.0,0.0,0.0,0.0
Areg,Monocyte_Inflammatory,Areg,Erbb2,Amphiregulin,0.0,0.0,0.0,0.0
Areg,Monocyte_Inflammatory,Areg,Erbb3,Amphiregulin,0.0,0.0,0.0,0.0
Areg,Monocyte_Inflammatory,Ccl2,Ccr2,Macrophage-recruit,0.393992933167178,0.2885473801988651,-0.10544555296831287,-26.8
Areg,Monocyte_Inflammatory,Csf1,Csf1r,Macrophage-recruit,0.6186452064032174,0.7244243095623589,0.10577910315914152,17.1
Areg,Monocyte_Inflammatory,Cxcl12,Cxcr4,CXCL12-homing,0.37142818667102995,0.5461709549001095,0.17474276822907953,47.0
Areg,Monocyte_Inflammatory,Dll1,Notch1,Notch,0.00014003644800666956,0.0004956988902383526,0.000355662442231683,254.0
Areg,Monocyte_Inflammatory,Fndc5,Itgav,Irisin-autocrine,0.003792414021169566,0.010603050901001632,0.006810636879832066,179.6
Areg,Monocyte_Inflammatory,Fndc5,Itgb1,Irisin-autocrine,0.009317106564497492,0.02385800394385935,0.014540897379361858,156.1
Areg,Monocyte_Inflammatory,Fndc5,Itgb5,Irisin-autocrine,0.001074490260335357,0.008774511318434847,0.00770002105809949,716.6
Areg,Monocyte_Inflammatory,Il33,Il1rl1,ILC2-activation,0.0,0.001324862048938029,0.001324862048938029,13248620.5
Areg,Monocyte_Inflammatory,Il6,Il6ra,IL6,0.377330809205685,0.28511360953725545,-0.09221719966842956,-24.4
Areg,Monocyte_Inflammatory,Il6,Il6st,IL6,0.06994506570232643,0.018992385110626953,-0.05095268059169948,-72.8
Areg,Monocyte_Inflammatory,Jag1,Notch2,Notch,0.010177957013431129,0.014753641523457183,0.004575684510026054,45.0
Areg,Monocyte_Inflammatory,Pdgfa,Pdgfra,Stromal-PDGF,0.0,0.0,0.0,0.0
Areg,Monocyte_Inflammatory,Pdgfb,Pdgfrb,Stromal-PDGF,0.0,0.0,0.0,0.0
Areg,Monocyte_Inflammatory,Tgfb1,Tgfbr1,TGFb-immunosup,0.010577231334095855,0.0060051497374377484,-0.004572081596658106,-43.2
Areg,Monocyte_Inflammatory,Tgfb1,Tgfbr2,TGFb-immunosup,0.0011145107183030147,0.0006657345144401584,-0.0004487762038628563,-40.3
Areg,Monocyte_Inflammatory,Tgfb2,Tgfbr1,TGFb-immunosup,0.051363131325579424,0.04574055421516991,-0.0056225771104095115,-10.9
Areg,Monocyte_Inflammatory,Tnf,Tnfrsf1a,TNF,0.0005553788248404402,0.0,-0.0005553788248404402,-100.0
Areg,Monocyte_Inflammatory,Tslp,Crlf2,ILC2-activation,0.031420739719608785,0.019248453219998435,-0.01217228649961035,-38.7
Areg,Monocyte_Inflammatory,Vegfa,Flt1,Angiogenesis,0.012310163122082432,0.013701023508780559,0.0013908603866981274,11.3
Areg,Monocyte_Inflammatory,Vegfa,Kdr,Angiogenesis,0.0,0.0,0.0,0.0
Areg,Monocyte_Inflammatory,Wnt5a,Fzd4,Wnt,0.0,0.0,0.0,0.0
Areg,Monocyte_Inflammatory,Wnt5a,Ror2,Wnt,0.0,0.0,0.0,0.0
Areg,Monocyte_Patrolling,Areg,Egfr,Amphiregulin,0.0,0.0,0.0,0.0
Areg,Monocyte_Patrolling,Areg,Erbb2,Amphiregulin,0.0,0.0,0.0,0.0
Areg,Monocyte_Patrolling,Areg,Erbb3,Amphiregulin,0.0,0.0,0.0,0.0
Areg,Monocyte_Patrolling,Ccl2,Ccr2,Macrophage-recruit,0.06521097536209985,0.009580301822314253,-0.055630673539785604,-85.3
