gene,ob_lfc,ob_padj,rescue_lfc,rescue_padj,ceil_lfc,ceil_padj,ex_lfc,ex_padj,is_rescued,is_normalized,class
Prex2,-2.5770446813183585,0.0396218837531747,3.2382656550793416,0.0027155199499249,0.2074820111324693,0.9996496209943752,0.4086976596109878,0.9997708173996,True,True,Fully rescued
Aox3,-2.0338984941697724,3.081060004870795e-08,2.02880700600237,0.0120387436773373,-0.34590786768023574,0.9996496209943752,0.2960714192577944,0.9997708173996,True,True,Fully rescued
Adam23,-1.7364559350191102,0.0012268148600914,0.7187065625394831,0.7131558971629309,-1.2006494968429549,0.1959143556988755,0.1767657984327771,0.9997708173996,True,True,Fully rescued
Cyp27a1,-1.252369983943295,0.0239055721311193,1.3822677577225246,0.0791404176787576,-0.17000802443636426,0.9996496209943752,0.2943918062979895,0.9997708173996,True,True,Fully rescued
Col4a4,-4.402409187141815,3.834734846752495e-16,2.825331824060551,0.0026952904174733,-1.1535585244908528,0.12432695491260784,-0.4747574891554008,0.9997708173996,True,True,Fully rescued
Col4a3,-4.681828098634534,0.0004072427808507,2.9329781010095877,0.3749508631993349,-0.8154793877253314,0.9996496209943752,-0.9704367825738812,0.9997708173996,True,True,Fully rescued
Ramp1,-2.5356321350249953,1.923433067992746e-06,2.69237588805607,3.0433053810243453e-05,-0.08342557811017258,0.9996496209943752,0.2256496481768196,0.9997708173996,True,True,Fully rescued
Cfh,-0.695693770140651,0.0141018630682269,1.012771431804309,0.0411551984885122,0.25747587905549674,0.9996496209943752,0.061526292620059,0.9997708173996,True,True,Fully rescued
Atp1a2,-2.509609825491889,1.302422916802233e-07,3.1439261870534168,1.0499197927926858e-05,0.16831132079311673,0.9996496209943752,0.4360730503340502,0.9997708173996,True,True,Fully rescued
Susd4,3.2493493560237043,0.0114687332679495,-1.551640130398828,0.594381470158705,4.554585990079947,0.3757604268481796,-2.8903787210803884,,True,True,Fully rescued
Hmcn2,-1.6712986593927592,0.0145365300356917,1.1587084402652097,0.1478190726842738,1.6750967098061205,0.0006989489899123614,-2.178983972974273,0.000132430217675,True,True,Fully rescued
Aif1l,1.1811775394028965,2.2983893615268205e-05,-0.6760901225131399,0.2539097181643092,0.6360825400304255,0.47680121264822695,-0.1273159710915696,0.9997708173996,True,True,Fully rescued
Cd44,1.137275554567715,0.0001515688874318,-0.3823369913285607,0.7032918415790168,0.9681864629671693,0.006032851537802008,-0.2140343295317974,0.9997708173996,True,False,Partially rescued
