baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,cell_state,tissue,contrast,contrast_label,dataset,is_sig
33.89965915753466,5.847972488335773,1.4746193401354748,3.9657505697697646,7.31653443937145e-05,0.028850344458858104,LPPR4,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
30.97649145316439,5.538904805279468,1.4706053223558875,3.7664115048939344,0.0001656107474134602,0.04966143796164511,EGFR,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
93.35053625214934,2.8492058325148446,0.6544261075128698,4.353747198966711,1.3383002844937316e-05,0.011387526683900084,IL1R1,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
29.366126427853892,5.217712139427368,1.0310150317801958,5.060752732594245,4.17604505472761e-07,0.0011252353399963545,EMBP1,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
3196.4155077851906,4.146108474472716,1.018806179480112,4.069575310770532,4.709891345352292e-05,0.02115133705008625,CAPG,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
41.45431985388238,-7.605450480651494,1.905641257285689,-3.991019008207432,6.579000653346052e-05,0.027272488092986057,PLD5,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
736.1655169221464,4.958408070185237,1.1668217436547084,4.249499203412646,2.1424897107369555e-05,0.014432346313951816,FCGR2C,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
16.760157535752022,-5.472756548944116,1.3905836173255164,-3.93558249986417,8.299514674876741e-05,0.0301719321188189,SLC16A14,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
2013.3811240344583,4.632805970566668,0.8227830521581816,5.630653133185834,1.7952846157174652e-08,0.00020315117837267342,ITGB8,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
19.909619667596385,-8.865052262170336,2.0762709056417874,-4.269699217997806,1.9573675051223183e-05,0.013954345020143475,POU6F2,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
172.22764637456845,8.389986270825476,2.151990197380777,3.8987102641253046,9.670640497655037e-05,0.031907192841956936,WISP3,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
37.22485937647214,-6.858673255258224,1.5841673662325084,-4.329513030917704,1.4943942811149034e-05,0.012079936171392322,ISL1,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
208.97125722809048,6.7861919050866595,1.4855089470809664,4.568260540215234,4.917884902713306e-06,0.004969215326385376,TNFAIP6,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
814.9411555200091,2.109308172744989,0.51461513356048,4.098807118537825,4.152849254360273e-05,0.020980973092263294,CD151,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
182.77023328128112,8.545109742813029,1.8691736594372987,4.571597561130555,4.8401984308666175e-06,0.004969215326385376,NT5E,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
124.75676404040001,5.686045024345353,1.3791828806617348,4.122763633505353,3.7435378022781755e-05,0.019523153435300408,IL15RA,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
27.59422647374492,5.355601788930797,1.2942466880255763,4.138006949124186,3.50335763165305e-05,0.019523153435300408,KIAA0125,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
32.72875793805867,-6.639790108000894,1.7497223583727095,-3.7947678248657026,0.00014778168138322137,0.04684679299848118,PGM5,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
28.499687920520586,-7.10557683306378,1.7435606944373112,-4.075325198447949,4.595008788332105e-05,0.02115133705008625,CXCL14,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
89.4591462226479,4.01517440033027,0.9664243196423041,4.154670281700256,3.2575694460297176e-05,0.01880897329784373,IL34,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
43.85276837404556,3.808919342736983,0.9500786384600679,4.009056922814998,6.096172159365533e-05,0.026091820334120674,PIK3CG,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
203.97224036921935,5.290159430885255,1.400346441317759,3.7777504728809035,0.0001582513166552811,0.049200943007037104,DNAH9,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
19.681932498989035,8.322277032350407,2.016548008037332,4.126991769687805,3.675395425539548e-05,0.019523153435300408,LCN2,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
101.2548865524457,-5.211485430747552,1.114788978967604,-4.67486271309738,2.9415032655566218e-06,0.003658098714942608,TENM3,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
1361.8643916881144,1.360714976932288,0.36204416510109766,3.758422612755878,0.00017098790520230222,0.04966143796164511,GOLGA2,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
261.69637286001984,12.595088277108756,2.260280244436299,5.572356927027825,2.5131586363910858e-08,0.00020315117837267342,SAA1,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
74.71993130722076,-4.3378548126723855,1.0823957589981699,-4.007642100046071,6.132796268303244e-05,0.026091820334120674,ZBED3-AS1,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
78.58045077681095,-2.667390544472391,0.6251871856842914,-4.266547052708429,1.9852164004657632e-05,0.013954345020143475,DCDC2,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
611.2111423712706,-13.937901242486598,3.3092056302021593,-4.2118571040975565,2.5327975580099605e-05,0.015749130046287318,MFAP4,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
21.028078872969584,-3.4404399552320775,0.8740811851366537,-3.936064536950535,8.282870727267828e-05,0.0301719321188189,SH2D3A,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
1782.4773715827534,-1.2836803439766844,0.2942809486318813,-4.362091225900089,1.288251294859587e-05,0.011387526683900084,NCBP1,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
57.797785546074266,-2.1753887271393286,0.5790356235354205,-3.756916912740269,0.0001720195785150075,0.04966143796164511,ST6GAL2,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
31.166969185716,-5.0750523942376695,1.2136724474209686,-4.181566785191557,2.8950718589041897e-05,0.017335046941816312,TMC4,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
84.3863240101973,-4.869670916597964,1.2489975486670535,-3.8988634699843407,9.6645245983068e-05,0.031907192841956936,NOSTRIN,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
119.13673316697026,-9.859728532820585,1.9601841919440377,-5.030001044464129,4.904771642822887e-07,0.0011327920449931087,CGA,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
33.58693930222884,8.466150978327654,1.657486109918219,5.107826199970615,3.2588618793386367e-07,0.0010537204000653547,AKAP3,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
231.8990988107092,-3.671850574982204,0.9294160254062653,-3.9507071909774405,7.792060850431161e-05,0.02999386851640966,ENO3,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
884.6724960022603,-1.7751149987349542,0.44571298486512834,-3.982641428479136,6.815354287124665e-05,0.027545958189986116,KIRREL,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
1186.6810577704268,4.97909032987598,1.2220002866325212,4.074541049083475,4.610518071670295e-05,0.02115133705008625,IGFBP3,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
128.73136682727684,-3.2988640859794707,0.6439431284474737,-5.122912164515097,3.0085251790820574e-07,0.0010537204000653547,CNTN4,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
63.60367018882451,3.346099834195574,0.8626507381555426,3.8788581359704892,0.00010494793291759605,0.033933864629575504,FGF2,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
270.71824253570185,7.545912359388984,1.5877118583602623,4.752696353343459,2.0072168100888824e-06,0.0027083228411555324,CHRNA6,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
69.60626355960119,-5.517007892670051,1.4045138731260431,-3.928055107345278,8.5635591088162e-05,0.0301719321188189,TAF7L,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
258.2605991303178,7.128034147905513,1.4998840460045137,4.752390137686724,2.0102600416815975e-06,0.0027083228411555324,ANO1,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
264.9012624013132,6.992448073902068,1.5124329634915545,4.623311077377952,3.776627041065831e-06,0.004361194955207949,MCHR1,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
48.23852121106608,-5.048711227013541,1.1784426930702923,-4.2842229466922355,1.8337895942424635e-05,0.013954345020143475,JPH4,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
96.30684897084707,6.763700301047585,1.4111401922007722,4.793074662907248,1.64244463488597e-06,0.002655340241220148,MUC15,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
53.99740309448568,7.686375817680037,1.402548718405593,5.480291498478465,4.246256538404993e-08,0.00022883076485464508,PCDHGB4,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
250.69434554462998,-2.8771613618918046,0.679854316351873,-4.232026321949053,2.3159529667260138e-05,0.014976804645223786,CTCFL,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
53.33854367006306,-6.562908570864941,1.7458231038705208,-3.7592059334733605,0.0001704534947905496,0.04966143796164511,TNFSF8,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
11214.17427363221,2.671921394639711,0.5453625459386992,4.89934890934011,9.615475936880357e-07,0.0017272599941282748,MT2A,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
28.365302900452345,-6.657845852581324,1.3370305175386492,-4.979576580523987,6.372353452513405e-07,0.0012877729783348027,FAM163A,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
270.5803461907011,2.7673388205709735,0.7055431950004036,3.922281215637535,8.771453019017061e-05,0.0301719321188189,NRXN3,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
2343.7456724280837,2.6823927317387595,0.5896551147667113,4.549087533650938,5.387902937418699e-06,0.005123895693485183,PRKCDBP,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
148.6471890594125,4.842595812343126,1.18589405389583,4.083497844039703,4.4362841070733594e-05,0.02115133705008625,MT1M,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
2595.186201359517,3.924299988825316,0.9993984234782138,3.926662176599744,8.613282342608533e-05,0.0301719321188189,TNC,Mal,tumor,treatment.naive_vs_post.treatment,responder_vs_nonresponder,jerby_melanoma,True
32.50781850636609,5.140289137016532,1.1200547764846225,4.589319419849913,4.4469350782860415e-06,0.018539156021065758,CD79A,Macrophage,tumor,post.treatment_vs_treatment.naive,responder_vs_nonresponder,jerby_melanoma,True
14.889151204545616,-2.9180845622351534,0.6467686884929644,-4.511790094592522,6.4282787867773084e-06,0.018539156021065758,PAIP2B,Macrophage,tumor,post.treatment_vs_treatment.naive,responder_vs_nonresponder,jerby_melanoma,True
26.035124956891526,5.124761179477384,1.1325713633753334,4.524890302898328,6.042683982472447e-06,0.018539156021065758,ADORA2B,Macrophage,tumor,post.treatment_vs_treatment.naive,responder_vs_nonresponder,jerby_melanoma,True
29.480710948962628,4.551192949295587,0.9324068846989783,4.88112327781118,1.0548327250969612e-06,0.018252825475077818,PPP1R16B,Macrophage,tumor,post.treatment_vs_treatment.naive,responder_vs_nonresponder,jerby_melanoma,True
13.416209353969275,-6.557015116511574,1.4366537614033932,-4.564088643116324,5.016688031461494e-06,0.018539156021065758,SYT1,Macrophage,tumor,post.treatment_vs_treatment.naive,responder_vs_nonresponder,jerby_melanoma,True
38.82971338524942,4.806860166438989,1.0301076034884404,4.66636703792948,3.0657186926959402e-06,0.018539156021065758,CCDC141,Macrophage,tumor,post.treatment_vs_treatment.naive,responder_vs_nonresponder,jerby_melanoma,True
59.85845992493571,-3.1424298531875694,0.848427539402629,-3.7038282083584044,0.0002123701050379757,0.041934375633129586,EPT1,?,tumor,post.treatment_vs_treatment.naive,responder_vs_nonresponder,jerby_melanoma,True
63.455816164515454,-8.372812744148955,1.7350103415362665,-4.825799906607611,1.3944245463563284e-06,0.001834002084501648,HID1,?,tumor,post.treatment_vs_treatment.naive,responder_vs_nonresponder,jerby_melanoma,True
16.653655833378732,-6.857691633601945,1.8211519398737603,-3.7655790730329235,0.00016616352482989977,0.038138901672799624,TFEC,?,tumor,post.treatment_vs_treatment.naive,responder_vs_nonresponder,jerby_melanoma,True
272.65841574448126,4.69404194360529,1.0682069743206137,4.394318756990638,1.1112066691794815e-05,0.006608144024034162,CENPL,?,tumor,post.treatment_vs_treatment.naive,responder_vs_nonresponder,jerby_melanoma,True
527.0395403655206,-7.523752583172928,1.7423450770365216,-4.318175935601545,1.573240033311348e-05,0.007855050177123525,DCT,?,tumor,post.treatment_vs_treatment.naive,responder_vs_nonresponder,jerby_melanoma,True
163.4395400857029,-5.113639439233079,0.9599052821782473,-5.327233357471528,9.97200133326349e-08,0.00043487897814362077,ALAS1,?,tumor,post.treatment_vs_treatment.naive,responder_vs_nonresponder,jerby_melanoma,True
26.760558517891027,-7.064030622282112,1.5199556333233601,-4.647524222030556,3.3594265657959904e-06,0.003139384125736353,SLC6A8,?,tumor,post.treatment_vs_treatment.naive,responder_vs_nonresponder,jerby_melanoma,True
209.95681102186924,-6.16207206021369,1.603722618522289,-3.8423552733150204,0.00012185927168740142,0.03126048728404456,TREM1,?,tumor,post.treatment_vs_treatment.naive,responder_vs_nonresponder,jerby_melanoma,True
22.362457307597005,43.2808512266689,9.899331956375987,4.372098179695092,1.2305816082869138e-05,0.006999869209225084,SYNGR3,?,tumor,post.treatment_vs_treatment.naive,responder_vs_nonresponder,jerby_melanoma,True
40.3109225703666,-5.255783986014797,1.434101555361815,-3.664861784972261,0.0002474721916801856,0.04551964685659694,NDUFAF6,?,tumor,post.treatment_vs_treatment.naive,responder_vs_nonresponder,jerby_melanoma,True
36.1830165516987,4.211584322217864,1.1309259312476734,3.72401428409331,0.00019607982434386941,0.04008300534204443,LIX1,?,tumor,post.treatment_vs_treatment.naive,responder_vs_nonresponder,jerby_melanoma,True
90.18240171159664,-4.14057976547868,0.932813703619053,-4.438806751460022,9.045899058253676e-06,0.00563559511329204,FAM120C,?,tumor,post.treatment_vs_treatment.naive,responder_vs_nonresponder,jerby_melanoma,True
53.971713525439974,3.156908611165089,0.8453905429777264,3.734260617637716,0.0001882674630598147,0.04008300534204443,PCSK5,?,tumor,post.treatment_vs_treatment.naive,responder_vs_nonresponder,jerby_melanoma,True
