gene,baseMean,log2FC,lfcSE,stat,pval,padj,n_a,n_b,contrast,cell_state,tissue,contrast_label,method,is_sig
Col6a5,6347.162139019324,0.9429137207676687,0.26071055575393404,3.6167071104616766,0.0002983745943477331,0.013917264815942708,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Ccrl2,37.10330097551118,1.513775435497363,0.4359622851608996,3.4722623653985973,0.0005160916920757345,0.021367062934078505,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Csrnp1,1697.3052178270036,0.763372580677293,0.16145311223453165,4.728137910208847,2.265882673831619e-06,0.0003128052290281928,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Myrip,13.768714565801218,-2.862769978832532,0.7689687015486866,-3.7228693093320633,0.00019697149165678754,0.010371780107552719,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Cnksr3,43.47085549263992,1.6299030942311148,0.43154996915755744,3.7768583263090045,0.00015881900951929712,0.00895765794276203,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Ulbp1,10.123717616399283,3.581204716972565,1.0094182920701043,3.547790589001779,0.0003884769561056948,0.01722588607994989,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Hivep2,1097.5675671894007,0.8683866976904286,0.20545512837758753,4.2266489259615785,2.3719730541246052e-05,0.002076246543480499,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Ccn2,471.8470304598407,1.2222014057651083,0.3375737582276851,3.620546253896797,0.0002939816877669393,0.013807920387102237,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Rspo3,368.28525828259717,-1.509084770293309,0.29770417024869766,-5.069075011722683,3.99753671385774e-07,7.924528662176814e-05,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Rnf217,741.2676197128685,1.4275584736542466,0.29622659580045246,4.81914349991685,1.4417582897441825e-06,0.0002208511562017225,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Lrrtm3,119.8478553473429,-1.0880527296938063,0.2853804562388719,-3.812639253695333,0.00013749071845537368,0.008093340108202783,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Mrln,31.21047555158525,-1.6649965936937514,0.48173153822008424,-3.4562748369052803,0.000547696572848551,0.022104640125743917,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Slc16a9,379.23833886042553,-1.0957138086337896,0.2745884178848553,-3.990386109778533,6.59658194873062e-05,0.004729889610047275,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Susd2,217.18711048349098,0.7869431217804276,0.22935560929970158,3.43110475555067,0.0006011284160407682,0.023779200945347963,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Col6a2,16068.565922962516,0.8201367324729393,0.21707463920673473,3.7781324224239206,0.00015800885787211371,0.00895765794276203,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Klf16,80.06726664669976,1.285539439719406,0.3616655078808736,3.5544983187692885,0.0003787009328146114,0.01690360455079789,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Dot1l,778.9990019576552,1.0934268802002938,0.24721428440531415,4.42299231547475,9.734320504441704e-06,0.0010755626262284768,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
Glt8d2,252.24350609404266,-0.8922335379915561,0.23515047646833198,-3.794308867206205,0.00014805527979336867,0.008565601594912488,3,3,SH_vs_SC,CP,vWAT,obesity_SH_vs_SC,deseq2_pseudobulk,True
