Gene_set,term,overlap,pval,adj_pval,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,genes,database
TF_Perturbations_Followed_by_Expression,EGR3 KD HUMAN GSE52108 CREEDSID GENE 2231 DOWN,13/352,1.3584787572452947e-09,1.2724417692864261e-07,0,0,11.2073702285035,228.81976085068192,FBN2;EDN1;SERPINB2;TPM1;RFTN1;FN1;RRAS2;ADM;THBS2;GNG11;ARNTL;MFAP5;GPR176,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,SOX2 OE HUMAN GSE34920 CREEDSID GENE 1422 UP,12/299,2.4339522155861244e-09,2.1598123344622138e-07,0,0,12.071940971510555,239.43185290140755,RNF144A;FBN2;SEPT9;UCHL1;TAGLN;MARCKS;BASP1;PALLD;ACTN1;TPM1;ADM;GNG11,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,FOSL1 KO MOUSE GSE43695 CREEDSID GENE 430 DOWN,9/134,3.217486060834782e-09,2.630935326645065e-07,0,0,20.07380281690141,392.5364995734023,SPON2;SERPINB2;PEG3;MGP;TNC;FN1;RRAS2;LPL;ADM,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,FOXO1 SIRNA HESC HUMAN GSE94036 RNASEQ DOWN,12/307,3.276965709344386e-09,2.630935326645065e-07,0,0,11.73978065802592,229.35243957261545,SPON2;SEPT9;POSTN;TAGLN;CCND1;PALLD;TNC;FN1;ADM;THBS2;PAMR1;SOX4,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,HNF4A KD HUMAN GSE25417 CREEDSID GENE 1357 UP,12/317,4.696530158763262e-09,3.5992499307613e-07,0,0,11.349083895853424,217.63504754955105,SPON2;UCHL1;POSTN;HPGD;BASP1;PALLD;ACTN1;TPM1;MGP;FN1;ARHGAP29;GNG11,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,OTX2 KO MOUSE GSE27630 CREEDSID GENE 78 UP,10/197,6.1886553323303494e-09,4.536553430569117e-07,0,0,15.074866310160427,284.923234380803,FBN2;FBLN7;TAGLN;CLMP;ANXA3;ALDH1A2;MCUB;FN1;ADM;PAMR1,TF_Perturbations_Followed_by_Expression
ChEA_2022,ESR1 22446102 ChIP-Seq UTERUS Mouse,22/1183,7.905430729696651e-10,5.517990649328263e-07,0,0,6.128753452730999,128.44825944860494,FBN2;IL33;POSTN;EDN1;HPGD;ANXA3;ACTN1;RFTN1;FN1;RRAS2;MICAL2;LHFPL2;THBS2;PRSS23;NPAS2;RNF144A;FNDC1;PALLD;ANPEP;PDE3A;HES1;ANGPTL4,ChEA_2022
TF_Perturbations_Followed_by_Expression,TWIST2 MUT N HUMAN GSE16524 CREEDSID GENE 2262 DOWN,10/203,8.252557298080341e-09,5.79742150190144e-07,0,0,14.601776461880087,271.77910838087496,DPP4;FDPS;POSTN;TAGLN;BASP1;PALLD;MMP3;FN1;ADM;THBS2,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,PPARG OE MOUSE GSE10192 CREEDSID GENE 2731 UP,11/269,9.799337344581844e-09,6.608673105185994e-07,0,0,12.149309066397034,224.04481404542312,MFAP5;TAGLN;GRK5;MCUB;MMP3;MGP;LPL;ANGPTL4;OCIAD2;THBS2;ASPN,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,DDIT3 KNOCKOUT TREATED WITH 2 UGML TUNICAMYCIN FOR 4 HOURS MOUSE GSE2082 CREEDSID GENE 1387 UP,11/272,1.0990884700022208e-08,7.127166001629784e-07,0,0,12.007829418624022,220.05787834399783,FDPS;UCHL1;POSTN;TAGLN;SERPINB2;BASP1;ACTN1;TPM1;MGP;TNC;PRSS23,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,CREB1 KD MOUSE GSE17478 CREEDSID GENE 2158 UP,12/346,1.2468063858917837e-08,7.785613209679805e-07,0,0,10.34836209933075,188.3411769575621,MFAP5;IL33;UCHL1;POSTN;CCND1;ANXA3;FIBIN;RRAS2;NOX4;PAMR1;ASPN;VGLL3,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,PRDM16 DEPLETION MOUSE GSE35011 CREEDSID GENE 487 UP,10/230,2.7104146606661272e-08,1.6320568278153893e-06,0,0,12.792207792207792,222.88604445205365,MFAP5;SERPINB2;CCL8;BASP1;PALLD;ACTN1;MMP3;TPM1;TNC;THBS2,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,PAX2 SIRNA REP HUMAN GSE59781 RNASEQ UP,10/234,3.190435593544243e-08,1.8548532450743427e-06,0,0,12.56122448979592,216.8133078165596,FDPS;TAGLN;MARCKS;BASP1;PALLD;ACTN1;TPM1;TNC;FN1;MICAL2,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,ATF3 SIRNA HDF HUMAN GSE81405 RNASEQ DOWN,11/310,4.2088633346753874e-08,2.3653811940875675e-06,0,0,10.461489990790556,177.67259102291575,FBN2;MARCKS;SERPINB2;CCND1;BASP1;MMP3;FN1;RRAS2;ARHGAP29;THBS2;GNG11,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,FLI1 KD HUMAN GSE27524 CREEDSID GENE 1607 UP,11/325,6.803883567959719e-08,3.7004347405097055e-06,0,0,9.954121665282008,164.27473307313682,IL33;POSTN;MARCKS;PALLD;CDC42EP3;RFTN1;MGP;ARHGAP29;ADM;PRSS23;PAMR1,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,CEBPG KO MOUSE GSE47777 CREEDSID GENE 3104 DOWN,9/197,9.220081431464724e-08,4.857830404202976e-06,0,0,13.304465088402758,215.522979721818,FBN2;POSTN;ALDH1A2;TNC;FIBIN;FN1;TNFRSF11B;LSP1;ASPN,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,FLI1 KD HUMAN GSE27524 CREEDSID GENE 1604 UP,11/340,1.0735713754180683e-07,5.323650996926067e-06,0,0,9.493017928725608,152.33545382039003,IL33;POSTN;MARCKS;PALLD;CDC42EP3;RFTN1;MGP;ARHGAP29;ADM;PRSS23;PAMR1,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,FLI1 KD HUMAN GSE27524 CREEDSID GENE 1599 UP,11/340,1.0735713754180683e-07,5.323650996926067e-06,0,0,9.493017928725608,152.33545382039003,IL33;EDN1;TPM1;CDC42EP3;RFTN1;MGP;LPL;ARHGAP29;ADM;PAMR1;ASPN,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,STAT6 KO MOUSE GSE25088 CREEDSID GENE 1160 DOWN,8/145,1.1729980934767205e-07,5.4935410711159745e-06,0,0,16.044606650446067,256.0483799961221,IL33;TAGLN;SERPINB2;CLMP;ALDH1A2;MGP;PRSS23;VGLL3,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,HOXA11 SIRNA MDAMB231 HUMAN GSE79586 RNASEQ DOWN,9/202,1.14224092887347e-07,5.4935410711159745e-06,0,0,12.956505874625996,207.1110885830792,MARCKS;CCND1;BASP1;ANXA3;CDC42EP3;FN1;ARHGAP29;PRSS23;CD55,TF_Perturbations_Followed_by_Expression
ChEA_2022,ZNF217 24962896 ChIP-Seq MCF-7 Human,21/1289,2.1622910132542858e-08,7.5463956362574575e-06,0,0,5.235684114847885,92.40727186491851,EDN1;FLT1;ACTN1;TPM1;RFTN1;FN1;TNFRSF11B;LHFPL2;PRSS23;NPAS2;RNF144A;MARCKS;CDK6;CCND1;BASP1;PALLD;CDC42EP3;MGP;HES1;SOX4;CD55,ChEA_2022
TF_Perturbations_Followed_by_Expression,MYC KD HUMAN GSE22139 CREEDSID GENE 712 UP,10/281,1.7690083779577212e-07,8.060940879018157e-06,0,0,10.357933579335793,161.04180049799822,TAGLN;MARCKS;BASP1;ACTN1;TPM1;MGP;TNC;FN1;MICAL2;PRSS23,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,FLI1 KD HUMAN GSE27524 CREEDSID GENE 1597 UP,11/359,1.853760515298002e-07,8.224842707348503e-06,0,0,8.966016991504247,138.98114776139926,IL33;EDN1;CDC42EP3;RFTN1;MGP;LPL;ARHGAP29;ADM;PRSS23;PAMR1;ASPN,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,PPARG OE MOUSE GSE2192 CREEDSID GENE 865 DOWN,10/288,2.2211778119783254e-07,9.60232254101399e-06,0,0,10.093525179856115,154.6333916827931,SEPT9;POSTN;TAGLN;MARCKS;BASP1;ACTN1;TPM1;FN1;THBS2;PRSS23,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,FOXF2 OE HUVEC HUMAN GSE79306 RNASEQ DOWN,10/289,2.2934318559425026e-07,9.666815272797648e-06,0,0,10.056835637480798,153.74936914053623,UCHL1;MARCKS;CDK6;PALLD;ANPEP;TPM1;MGP;MICAL2;SOX4;ASPN,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,WT1 KO MOUSE GSE15325 CREEDSID GENE 2156 UP,11/369,2.43935347379371e-07,1.0031097455649256e-05,0,0,8.711116508784714,132.6386187575148,UCHL1;FOXS1;FLT1;SERPINB2;MMP3;MGP;TNC;FN1;ADM;CD55;VGLL3,TF_Perturbations_Followed_by_Expression
ChEA_2022,CEBPD 21427703 ChIP-Seq 3T3-L1 Mouse,21/1349,4.7358190679528576e-08,1.1018672364770316e-05,0,0,4.983050847457627,84.04177387954847,POSTN;EDN1;FLT1;SERPINB2;FN1;LPL;ADM;TNFRSF11B;LHFPL2;THBS2;PRSS23;ASPN;MARCKS;CCL8;FNDC1;BASP1;PALLD;CDC42EP3;LRRC8D;SOX4;VGLL3,ChEA_2022
TF_Perturbations_Followed_by_Expression,ADARB1 KD HUVEC HUMAN GSE60217 RNASEQ UP,11/374,2.789453182200138e-07,1.1197662059974838e-05,0,0,8.588932806324111,129.6263217163523,UCHL1;EDN1;MARCKS;ACTN1;TPM1;MGP;FN1;MICAL2;ANGPTL4;PRSS23;CD55,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,MYC KD MOUSE GSE30323 CREEDSID GENE 2609 DOWN,9/229,3.3103139528245865e-07,1.297951005688896e-05,0,0,11.350832266325224,169.36636548430934,POSTN;TAGLN;SERPINB2;BASP1;CDC42EP3;TNC;NOX4;TNFRSF11B;HES1,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,EZH2 SIRNA HUVEC HUMAN GSE87534 RNASEQ UP,11/383,3.533147682834778e-07,1.3538379530135082e-05,0,0,8.377279102384291,124.45207492267808,TAGLN;MARCKS;FLT1;CDK6;CCND1;PALLD;TPM1;MGP;FN1;MICAL2;PRSS23,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,DDIT3 KO MOUSE GSE2082 CREEDSID GENE 1388 UP,10/306,3.8806828272149787e-07,1.453962499263212e-05,0,0,9.471042471042471,139.81232951076043,UCHL1;POSTN;TAGLN;SERPINB2;BASP1;ACTN1;TPM1;TNC;PRSS23;GNG11,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,PGR KO MOUSE GSE39920 CREEDSID GENE 3079 UP,9/234,3.9702737065616963e-07,1.4551916237528304e-05,0,0,11.095774647887325,163.54351425960482,MARCKS;CCND1;HPGD;ANPEP;FN1;LPL;HES1;LSP1;PRSS23,TF_Perturbations_Followed_by_Expression
TF_Perturbations_Followed_by_Expression,REST SHRNA C2 HUMAN GSE90068 PBMPA RNASEQ UP,12/482,4.56663081886395e-07,1.638157353320132e-05,0,0,7.30287859824781,106.61706126080746,SPON2;POSTN;MARCKS;CDK6;CCND1;FNDC1;PALLD;TPM1;FN1;LPL;THBS2;SOX4,TF_Perturbations_Followed_by_Expression
