Gene_set,term,overlap,pval,adj_pval,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,genes,database
ChEA_2022,TFAP2C 20629094 ChIP-Seq MCF-7 Human,15/1034,1.2806295777821691e-05,0.000988930618398453,0,0,4.280440854533102,48.22162170257578,DGAT2;SLC24A3;CNP;KCNIP3;SLC1A5;DEDD2;FNDC5;GNAO1;PDE11A;PLCXD3;CSRP1;DOK7;PKP2;CYB561;FGFR2,ChEA_2022
ChEA_2022,NR3C2 34362910 ChIP-Seq WistarRat Hippocampus,18/1496,1.9740140729077315e-05,0.0013648222890526,0,0,3.622550089484482,39.24256490254279,HPCA;MMD2;ATP1A2;MYRIP;SLC1A5;NR1D1;NT5E;PER3;LRRTM3;MAP1B;DOK7;COTL1;TIMP3;SLC17A7;TNIK;ASPA;TNS2;GARNL3,ChEA_2022
ChEA_2022,CLOCK 20551151 ChIP-Seq 293T Human,9/382,2.160150385550887e-05,0.0013648222890526,0,0,6.64286523430125,71.36262470408815,PDXK;DBP;DGAT2;HLF;PER3;TEF;TIMP3;FMO1;ATP1A2,ChEA_2022
ChEA_2022,RNF2 16625203 ChIP-ChIP MESCs Mouse,13/854,3.1874534791473516e-05,0.0017721192670832,0,0,4.40177826681101,45.57470550390733,LMO1;CCBE1;IL15RA;DGAT2;HLF;GNAO1;NT5E;LRRTM3;BOC;LRRN1;TOX;CACNG4;FGFR2,ChEA_2022
ChEA_2022,NFKB1 27076634 ChIP-Seq BEAS2B Human Lung Inflammation,31/3823,3.431445863130345e-05,0.0017721192670832,0,0,2.690777576853526,27.661042155806545,HLF;LPAR3;ATP1A2;PPL;MYLK;DEDD2;ADAMTSL1;NT5E;LRRTM3;TIMP3;SLC16A7;RSPO3;TNS2;CACNG4;CCBE1;DGAT2;RBFOX3;MMD2;IGF1;SORL1;PLCXD3;TMEM114;PSAT1;MAP1B;PAPPA;PKP2;NABP1;LRRN1;TNIK;TOX;FGFR2,ChEA_2022
ChEA_2022,SUZ12 18974828 ChIP-Seq MESCs Mouse,18/1564,3.571020509730166e-05,0.0017721192670832,0,0,3.4504444351708883,35.332806531776235,CLIC6;LMO1;GDF10;CCBE1;IL15RA;DGAT2;HLF;ACE;MYRIP;NT5E;LRRTM3;PAPPA;BOC;RSPO3;LRRN1;TOX;CACNG4;FGFR2,ChEA_2022
ChEA_2022,FOXA2 19822575 ChIP-Seq HepG2 Human,24/2553,3.824717842625733e-05,0.0017721192670832,0,0,2.9471276054905946,29.97653387217492,CCBE1;IL15RA;DGAT2;HLF;SLC24A3;WNK4;PRG2;SCRIB;NR1D2;MYRIP;NR1D1;SORL1;MYLK;CYP27A1;GNAO1;POR;CSRP1;TEF;PSAT1;TNIK;TOX;CACNG4;FGFR2;GARNL3,ChEA_2022
TF_Perturbations_Followed_by_Expression,AHR KO MOUSE GSE10082 CREEDSID GENE 1465 UP,8/271,1.278385897827276e-05,0.0020638830106033,0,0,8.30460498521335,93.57070163608448,POR;DBP;MIR17HG;SLC16A7;NABP1;MMD2;PPL;CYB561,TF_Perturbations_Followed_by_Expression
ChEA_2022,NR3C1 34362910 ChIP-Seq WistarRat Hippocampus,11/647,5.147560418099971e-05,0.0022359715566121,0,0,4.833743505605688,47.7303292836057,PDXK;LRRTM3;MAP1B;COTL1;TIMP3;ATP1A2;SLC17A7;MYRIP;TNIK;ASPA;TNS2,ChEA_2022
ChEA_2022,RNF2 18974828 ChIP-Seq MESCs Mouse,14/1066,7.653041331936377e-05,0.0027994019608925,0,0,3.8044705611245537,36.05809606243095,CLIC6;GDF10;CCBE1;IL15RA;DGAT2;HLF;MYRIP;APLN;NT5E;PAPPA;BOC;TOX;CACNG4;FGFR2,ChEA_2022
ChEA_2022,EZH2 27294783 Chip-Seq ESCs Mouse,18/1649,7.13530123541019e-05,0.0027994019608925,0,0,3.2554933644508615,31.083030670593377,CLIC6;LMO1;GDF10;HLF;ACE;WNK4;LPAR3;MYRIP;IGF1;FNDC5;LRRTM3;PAPPA;DOK7;TIMP3;RSPO3;TNIK;CACNG4;FGFR2,ChEA_2022
ChEA_2022,EZH2 18974828 ChIP-Seq MESCs Mouse,14/1066,7.653041331936377e-05,0.0027994019608925,0,0,3.8044705611245537,36.05809606243095,CLIC6;GDF10;CCBE1;IL15RA;DGAT2;HLF;MYRIP;APLN;NT5E;PAPPA;BOC;TOX;CACNG4;FGFR2,ChEA_2022
ChEA_2022,TCF7L2 21901280 ChIP-Seq H4IIE Rat,12/807,8.297545265645279e-05,0.0028833969798117,0,0,4.245283018867925,39.892779106292295,CYP27A1;POR;DGAT2;TEF;COTL1;SLC16A7;MMD2;SCRIB;AMPH;ATP1A2;TNIK;TOX,ChEA_2022
ChEA_2022,AR 22383394 ChIP-Seq PROSTATE CANCER Human,17/1540,0.00010299398201897914,0.0034086103572947,0,0,3.2595337106170987,29.92525746670276,MAOB;LPAR3;MYRIP;IGF1;MYLK;ADAMTSL1;PDE11A;PLCXD3;TMEM114;SULT1E1;PSAT1;MAP1B;PKP2;SLC16A7;RSPO3;TNIK;TOX,ChEA_2022
ChEA_2022,WT1 25993318 ChIP-Seq PODOCYTE Human,25/2909,0.00011111107657253708,0.003510099918996,0,0,2.685033413188753,24.44717597526048,WNK4;MYLK;PDE11A;DBP;CSRP1;BOC;COTL1;TIMP3;CACNG4;LMO1;GDF10;CCBE1;RBFOX3;KCNIP3;PDE4C;IGF1;NR1D1;FNDC5;POR;PSAT1;MAP1B;PAPPA;AMPH;TNIK;FGFR2,ChEA_2022
TF_Perturbations_Followed_by_Expression,ARNTL KO MOUSE GSE27079 CREEDSID GENE 2710 DOWN,7/215,2.4582213177688033e-05,0.003571795574718,0,0,9.087460484720758,96.44964751710076,GNAO1;DBP;PER3;TEF;SLC16A7;NR1D2;NR1D1,TF_Perturbations_Followed_by_Expression
